file_name,timestamp,line_count,chunk_count,candidate_count,clone_count,avg_clone_size,chunkify_ms,candidate_lookup_ms,candidate_expansion_ms
SampleFile075.java,2024-01-01T13:15:00,229,65,67,10,6.34,1.052,0.912,0.417
SampleFile076.java,2024-01-01T13:16:00,232,66,67,10,7.24,1.091,0.814,0.359
SampleFile077.java,2024-01-01T13:17:00,237,67,67,10,9.40,1.027,0.868,0.476
SampleFile078.java,2024-01-01T13:18:00,235,67,64,9,7.98,1.044,0.901,0.341
SampleFile079.java,2024-01-01T13:19:00,234,66,63,9,6.88,1.090,0.904,0.433
SampleFile080.java,2024-01-01T13:20:00,243,68,62,9,9.67,1.042,0.787,0.433
SampleFile081.java,2024-01-01T13:21:00,244,68,67,10,8.38,1.125,0.963,0.473
SampleFile082.java,2024-01-01T13:22:00,246,69,66,9,9.32,1.095,0.959,0.489
SampleFile083.java,2024-01-01T13:23:00,246,69,67,10,7.04,1.065,0.913,0.503
SampleFile084.java,2024-01-01T13:24:00,249,69,67,10,8.51,1.067,0.800,0.407
SampleFile085.java,2024-01-01T13:25:00,246,69,65,9,7.28,1.094,0.803,0.386
SampleFile086.java,2024-01-01T13:26:00,246,69,63,9,6.26,1.081,0.874,0.423
SampleFile087.java,2024-01-01T13:27:00,248,69,66,9,7.56,1.117,0.969,0.344
SampleFile088.java,2024-01-01T13:28:00,256,71,67,10,7.91,1.154,0.845,0.428
SampleFile089.java,2024-01-01T13:29:00,254,70,69,10,8.99,1.105,0.916,0.394
SampleFile090.java,2024-01-01T13:30:00,253,70,65,9,7.74,1.053,0.842,0.476
SampleFile091.java,2024-01-01T13:31:00,257,71,63,9,9.36,1.152,0.961,0.447
SampleFile092.java,2024-01-01T13:32:00,259,71,70,10,8.26,1.063,0.929,0.377
SampleFile093.java,2024-01-01T13:33:00,261,72,64,9,6.20,1.108,0.812,0.405
SampleFile094.java,2024-01-01T13:34:00,262,72,66,9,9.01,1.153,0.830,0.356
SampleFile095.java,2024-01-01T13:35:00,257,71,69,10,6.21,1.155,0.840,0.364
SampleFile096.java,2024-01-01T13:36:00,269,73,63,9,9.02,1.175,0.805,0.344
SampleFile097.java,2024-01-01T13:37:00,262,72,65,9,6.50,1.137,0.888,0.384
SampleFile098.java,2024-01-01T13:38:00,266,73,68,10,6.67,1.141,0.940,0.373
SampleFile099.java,2024-01-01T13:39:00,265,73,67,10,6.43,1.083,0.847,0.485
SampleFile100.java,2024-01-01T13:40:00,271,74,70,10,9.77,1.110,0.918,0.516
